Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
3,13.49,3.27,2.62,24.0,123,1.7,1.28,0.21,1.11,5.58,0.57,1.29,985
1,14.38,3.59,2.12,14.6,90,2.8,3.06,0.24,2.03,5.2,0.91,3.22,760
2,12.25,1.29,1.88,16.8,100,1.85,1.09,0.29,1.46,2.9,1.23,2.27,870
1,13.74,1.9,2.59,17.1,121,2.6,2.76,0.17,2.1,3.52,1.25,3.16,1015
1,13.72,1.43,2.7,22.5,96,2.2,2.43,0.29,1.44,3.52,1.1,2.51,915
3,14.16,1.68,2.7,24.5,96,2.8,1.31,0.53,2.29,10.52,0.57,1.96,650
2,11.41,2.4,2.5,21.6,94,1.92,1.61,0.48,1.35,2.8,1.27,3.3,607
3,14.16,2.59,2.48,19.5,80,1.68,0.61,0.45,1.55,9.01,0.6,1.56,415
1,14.12,1.76,2.12,18.0,101,3.1,3.0,0.28,2.14,4.5,1.02,2.91,1045
3,13.48,2.99,2.62,22.5,89,1.4,0.56,0.61,0.8,4.35,0.75,1.82,480
2,12.37,1.13,2.22,21.5,85,2.5,2.29,0.34,1.43,2.12,1.12,2.75,325
1,13.24,1.78,2.14,11.2,97,2.45,2.43,0.17,2.91,6.25,1.12,2.48,1045
1,13.9,4.04,2.44,18.8,102,2.61,2.33,0.25,1.66,4.36,1.03,3.59,1050
1,13.88,1.35,2.32,16.5,108,2.95,3.39,0.22,2.08,6.9,0.91,3.33,970
1,13.56,1.73,2.62,19.0,110,2.35,2.53,0.28,3.28,6.2,1.19,3.08,1285
2,12.43,1.52,2.17,21.0,88,2.5,2.27,0.26,2.01,1.9,0.95,2.78,342
2,12.08,4.31,2.2,18.0,103,3.18,3.18,0.39,2.81,2.8,0.75,2.81,438
2,13.67,1.51,2.46,19.0,99,1.38,1.36,0.52,0.62,3.17,0.76,1.93,675
1,14.06,1.68,2.27,18.9,98,2.98,3.0,0.22,1.86,4.5,1.04,3.44,1035
3,13.88,2.59,2.3,22.0,96,1.41,0.51,0.5,0.64,5.6,0.81,1.58,488
2,11.03,3.74,2.7,21.6,104,3.18,2.58,0.29,3.58,2.5,0.75,3.56,680
2,12.37,1.21,1.94,18.0,78,1.85,1.84,0.39,2.08,4.68,0.69,2.65,510
1,14.83,1.73,2.17,11.4,100,3.1,3.93,0.26,2.81,7.2,1.12,2.91,1150
3,13.4,3.03,2.15,20.0,102,1.65,0.55,0.53,1.4,7.6,0.55,1.55,740
1,13.72,1.83,2.41,16.0,111,3.4,3.17,0.2,1.97,6.8,1.09,3.55,1515
1,13.86,1.89,2.8,17.1,101,3.25,2.97,0.34,2.04,7.5,1.28,2.71,1450
2,11.87,0.89,2.92,18.0,103,2.42,2.03,0.3,1.46,2.85,0.96,2.87,434
3,13.23,2.39,2.35,18.0,113,1.59,0.68,0.29,0.94,7.1,0.58,1.68,600
1,14.2,1.48,2.45,16.8,108,2.5,2.52,0.34,1.61,5.05,0.88,3.38,1195
1,13.05,3.8,2.65,18.6,111,2.64,2.68,0.3,1.25,4.25,0.82,3.1,1080
1,14.22,3.99,2.44,16.0,128,2.8,2.94,0.3,2.29,5.6,0.89,3.45,845
2,12.99,0.9,1.95,16.0,86,1.9,1.41,0.39,1.46,4.6,0.86,2.77,600
1,14.22,3.99,2.44,15.6,116,3.27,3.17,0.25,1.97,7.8,1.04,3.55,1515
1,14.38,1.95,2.5,16.8,113,2.8,3.14,0.34,2.08,5.65,0.92,3.38,885
3,12.85,4.95,2.48,23.0,95,1.7,0.65,0.52,0.86,7.65,0.64,1.73,725
1,14.22,3.99,2.51,13.2,128,3.85,3.74,0.2,2.08,6.8,0.89,3.53,1190
1,14.22,3.99,2.51,15.2,116,3.0,3.17,0.25,2.08,6.2,0.89,3.45,845
2,12.34,2.45,1.92,18.5,92,2.85,2.99,0.45,2.81,2.3,0.8,3.64,495
2,11.76,1.83,2.39,20.0,98,2.2,2.13,0.3,1.9,2.8,1.19,3.17,428
3,13.27,3.59,2.36,18.5,120,1.8,0.69,0.27,1.35,10.2,0.57,1.56,500
3,12.88,5.65,2.64,25.0,112,1.65,0.78,0.53,1.14,5.58,0.89,1.69,570
2,11.64,1.99,2.26,18.0,98,2.9,3.15,0.24,1.35,3.94,1.0,3.71,380
2,13.03,1.67,2.2,18.8,88,2.5,2.27,0.22,2.35,3.38,1.04,3.59,392
2,12.08,2.12,2.17,21.0,88,2.6,2.65,0.45,1.35,2.76,1.06,3.2,500
2,13.34,1.51,2.21,24.0,101,3.5,2.89,0.21,1.96,3.35,1.07,3.71,410
3,13.62,3.59,2.6,24.0,107,1.4,0.6,0.43,0.81,3.85,0.81,2.15,570
2,12.0,1.72,2.28,21.5,84,1.78,1.32,0.43,1.46,1.95,1.23,2.27,607
1,14.23,1.92,2.5,16.7,121,3.0,3.39,0.29,2.29,6.6,0.95,3.53,795
1,13.58,1.81,2.41,20.5,116,2.86,2.78,0.26,2.45,6.25,1.07,3.44,1060
3,13.58,5.04,2.86,25.0,112,1.98,0.92,0.27,1.25,8.42,0.74,1.69,630
2,12.72,3.87,1.95,20.5,87,2.86,2.99,0.26,1.95,6.0,0.91,3.64,714
2,12.67,1.53,2.22,18.8,162,3.5,3.75,0.13,2.49,2.8,0.99,3.33,937
2,12.7,3.43,2.74,28.5,92,2.2,2.53,0.21,2.29,3.05,1.23,3.52,380
2,12.29,2.83,2.1,18.5,80,2.55,1.64,0.22,1.63,3.4,0.79,2.65,290
1,14.21,1.63,2.48,18.9,106,2.8,2.65,0.34,1.92,5.24,1.04,2.75,1095
3,12.81,2.56,2.48,22.0,98,1.3,0.83,0.5,0.83,5.7,0.75,1.58,660
3,13.88,5.65,2.23,22.5,96,1.8,0.47,0.52,0.68,5.7,0.87,1.58,550
3,13.11,1.67,2.75,21.0,116,2.2,1.57,0.26,1.56,7.9,0.58,1.33,392
2,13.67,1.66,2.58,26.0,119,1.92,1.84,0.21,2.5,4.8,1.31,3.21,630
2,12.08,2.68,2.27,22.0,78,1.78,1.32,0.48,1.63,1.95,0.79,2.27,480
2,12.08,2.13,3.23,20.0,103,1.6,5.08,0.48,2.08,3.94,0.95,3.12,466
2,11.96,1.33,2.29,16.0,151,2.56,2.65,0.14,2.29,3.05,1.18,2.74,750
2,12.08,2.16,2.21,18.0,103,2.6,2.65,0.37,1.35,3.25,1.06,3.58,625
2,12.67,1.75,2.32,24.5,88,1.88,1.84,0.21,1.03,3.4,1.33,2.52,290
2,12.42,4.43,2.17,22.5,108,2.83,2.99,0.37,2.91,5.3,0.82,3.39,672
3,13.17,1.35,2.7,27.0,116,2.2,1.57,0.26,1.56,7.1,0.61,1.96,472
3,14.34,3.7,2.74,23.0,96,2.05,0.5,0.53,0.88,4.92,0.89,2.31,580
1,13.86,1.57,2.28,16.0,126,2.95,3.17,0.24,2.1,6.6,1.09,3.55,780
3,13.78,2.56,2.69,24.5,107,1.55,0.6,0.43,0.81,4.35,0.89,2.31,570
1,13.2,1.78,2.14,12.4,97,2.45,2.43,0.17,1.28,4.6,1.05,2.69,1050
1,13.51,1.81,2.62,19.0,110,2.35,2.53,0.31,3.28,6.25,1.19,2.3,1375
2,13.49,0.94,2.1,19.0,80,2.2,2.0,0.22,1.04,3.8,1.38,3.48,502
2,12.0,2.16,2.92,28.5,92,3.18,2.03,0.58,1.03,2.08,0.86,2.44,500
2,12.37,1.21,1.7,17.5,78,1.85,1.75,0.28,1.04,4.68,1.28,2.52,415
2,12.08,2.13,2.24,18.0,88,2.23,2.17,0.22,2.29,2.6,1.27,3.14,345
1,13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.69,4.7,1.04,3.47,1050
1,12.93,1.5,2.84,25.0,95,2.53,2.43,0.34,1.77,3.93,1.36,3.5,880
2,12.21,1.73,2.2,19.0,86,2.5,1.64,0.22,1.87,2.4,0.94,2.57,290
3,13.78,5.19,2.45,20.5,89,1.8,0.65,0.48,1.41,7.3,0.55,1.64,620
2,12.72,3.87,2.42,24.5,88,2.1,1.64,0.21,1.4,3.05,0.91,2.72,425
1,13.24,1.78,2.14,17.0,94,2.72,3.19,0.27,1.98,6.1,1.09,3.4,780
2,13.05,5.8,2.2,24.0,101,3.18,2.89,0.21,2.01,3.35,0.82,2.81,380
3,12.45,3.27,2.36,21.5,97,1.25,0.83,0.4,0.83,4.9,0.74,1.58,515
3,13.16,4.36,2.38,20.0,92,1.7,0.76,0.5,0.86,7.65,0.54,1.55,560
2,12.22,1.73,2.32,24.5,88,1.88,1.75,0.4,1.4,2.2,1.33,3.21,378
1,14.3,1.71,2.3,12.0,126,3.1,3.0,0.26,2.96,6.2,1.12,3.71,1045
1,13.56,1.73,2.36,16.6,111,2.96,3.17,0.2,1.69,5.65,1.12,3.71,1320
1,14.02,1.59,2.21,18.9,94,2.2,2.43,0.27,1.4,3.84,1.04,3.14,990
2,12.29,1.41,2.36,22.5,85,1.45,1.02,0.5,1.63,2.6,1.08,2.27,625
3,13.71,5.65,2.23,20.0,92,1.68,0.34,0.48,1.15,6.62,0.78,1.51,550
3,12.93,3.45,2.58,22.0,101,1.65,0.6,0.43,0.96,5.0,0.82,1.82,580
2,12.21,1.19,2.2,20.4,162,2.56,2.01,0.32,2.5,3.05,0.95,3.19,750
1,14.38,1.95,2.72,16.8,102,3.85,3.74,0.33,2.04,7.8,0.86,2.87,1680
2,12.6,1.36,2.1,24.0,101,3.5,2.89,0.43,2.49,2.6,1.07,3.1,406
3,12.82,2.56,2.7,21.0,96,1.54,0.76,0.52,0.86,4.6,0.75,2.31,650
3,13.49,4.36,2.38,21.5,88,1.28,0.76,0.47,1.41,7.3,0.59,1.56,660
2,12.37,1.17,1.71,17.5,94,1.85,1.75,0.14,0.73,2.95,1.23,2.23,562
1,14.1,2.16,2.61,18.6,103,2.75,3.24,0.4,2.38,6.0,1.13,3.2,1285
2,13.49,1.25,2.56,24.0,87,1.38,1.36,0.27,1.34,2.45,0.76,1.82,425
3,13.23,3.3,2.15,18.5,98,1.8,0.58,0.61,1.3,5.45,0.56,1.48,725
1,13.29,2.36,2.67,18.6,101,2.8,3.32,0.3,2.81,5.68,0.88,3.35,845
1,13.77,1.5,2.5,16.8,93,2.45,2.52,0.34,2.08,4.2,1.1,2.82,1285
2,13.86,1.51,2.26,20.7,80,2.74,1.3,0.43,1.35,2.45,1.23,2.77,415
2,12.42,4.43,1.94,16.0,85,2.86,3.15,0.37,2.81,2.3,0.91,3.39,672
2,12.42,4.43,2.02,16.0,85,2.86,3.15,0.39,2.91,2.8,0.84,3.39,625
3,12.86,1.68,2.1,18.5,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,985
2,11.96,1.83,2.27,16.0,97,2.5,2.11,0.63,1.9,2.6,1.45,2.44,466
3,14.13,4.12,2.74,25.0,98,2.05,0.5,0.53,0.88,5.88,0.87,2.31,550
3,13.58,3.03,2.3,22.0,90,1.93,0.66,0.52,1.25,5.45,0.61,1.64,480
3,13.17,3.55,2.15,21.0,102,1.41,0.55,0.43,1.4,7.3,0.59,1.68,780
2,12.72,1.75,2.1,18.8,88,2.2,2.13,0.22,2.29,3.3,1.04,3.48,392
2,12.33,1.1,2.21,21.5,85,3.52,2.89,0.24,1.95,1.9,1.04,3.44,660
3,13.45,1.68,2.64,22.5,111,2.2,0.92,0.27,1.25,9.7,0.57,1.56,560
3,13.32,3.55,2.28,18.5,98,1.65,1.09,0.61,1.87,13.0,0.48,1.48,675
1,13.56,1.73,2.31,17.5,89,2.48,2.69,0.27,1.97,3.95,1.02,2.77,1285
2,13.49,0.94,2.28,17.0,110,1.9,2.03,0.45,0.42,5.75,0.92,3.12,750
2,11.96,2.89,2.17,22.5,70,1.78,1.69,0.43,1.35,1.74,0.79,3.33,680
2,12.08,3.43,2.6,21.6,94,1.92,1.84,0.48,1.35,3.6,0.96,2.31,607
1,13.51,1.8,2.36,17.2,111,3.15,3.0,0.2,1.97,5.43,1.25,3.17,1235
3,12.6,3.83,2.38,21.5,97,1.38,0.83,0.52,1.14,7.7,0.78,1.51,520
2,12.08,2.89,2.56,21.0,94,1.72,1.32,0.43,1.46,2.9,0.96,2.26,607
2,13.86,0.94,2.42,17.0,101,2.2,1.41,0.63,1.05,3.8,1.25,2.78,630
2,12.37,1.17,2.26,21.5,86,2.95,2.99,0.39,1.87,6.0,0.98,3.39,625
1,13.41,3.84,2.29,17.5,102,2.41,2.61,0.32,2.08,4.28,0.82,3.3,845
3,12.96,3.9,2.38,24.0,92,1.48,0.83,0.61,1.04,7.65,0.54,1.48,560
3,12.53,3.26,2.36,21.5,88,2.3,0.92,0.44,0.94,7.1,0.54,1.86,880
1,13.72,1.43,2.7,19.5,132,2.95,2.91,0.5,1.82,7.3,1.23,2.71,1515
1,14.21,1.68,2.48,16.0,117,3.0,3.0,0.32,2.08,5.04,1.04,3.1,1065
2,11.79,1.13,1.7,15.0,151,2.1,0.57,0.14,2.5,3.05,1.06,2.26,520
1,13.56,1.71,2.41,20.5,106,2.7,2.98,0.26,1.86,5.04,0.88,2.84,1060
2,11.82,1.83,2.2,19.0,98,2.5,2.27,0.3,1.4,3.25,1.23,3.13,450
1,12.93,3.8,2.28,16.2,103,2.41,2.19,0.28,1.98,4.5,1.19,3.0,1285
3,12.86,2.96,2.61,22.0,101,1.65,0.6,0.6,0.96,5.0,0.82,1.82,590
2,12.08,2.08,1.94,19.6,86,2.6,2.65,0.37,1.35,2.06,0.86,3.28,378
2,12.25,1.73,1.92,18.0,88,2.2,2.21,0.39,2.01,3.8,0.86,3.02,312
1,14.21,2.15,2.3,15.2,102,3.2,3.64,0.27,2.03,4.9,1.06,3.71,1095
3,13.5,4.1,2.26,20.0,103,1.59,0.34,0.4,0.8,5.7,0.67,1.83,750
3,13.36,2.46,2.37,21.5,89,1.68,0.5,0.44,0.64,9.899999,0.57,1.62,660
3,12.25,3.88,2.38,21.0,88,1.62,0.76,0.47,0.97,7.65,0.64,1.75,880
1,13.16,3.98,2.12,17.0,90,2.72,3.24,0.27,1.98,6.1,0.73,3.26,680
3,13.49,3.37,2.62,22.5,123,1.4,1.28,0.22,1.25,8.42,0.48,1.3,500
3,12.25,4.72,2.54,18.5,92,1.83,0.6,0.61,1.25,8.6,0.55,1.48,520
1,12.93,1.5,2.84,21.0,95,2.45,2.43,0.34,1.46,3.93,1.09,2.87,915
2,12.0,4.3,2.19,22.5,84,1.65,1.25,0.5,1.35,1.74,0.75,2.26,500
2,12.08,1.13,2.62,24.0,86,2.74,2.79,0.4,1.87,2.08,1.36,3.16,680
3,13.45,2.76,2.28,19.5,96,1.8,0.66,0.52,1.24,5.45,0.6,1.62,740
3,12.79,4.1,2.2,19.5,88,1.74,0.66,0.5,0.97,6.62,0.64,1.73,470
1,13.68,1.86,2.7,17.2,101,3.25,2.91,0.29,2.18,7.8,1.28,2.71,1515
3,14.34,2.99,2.48,19.5,80,1.62,0.61,0.45,1.55,9.01,0.6,1.56,372
1,13.68,1.83,2.36,19.1,104,2.75,3.19,0.26,2.38,5.75,0.92,2.84,1120
1,13.76,1.9,2.68,17.1,102,3.0,2.97,0.39,1.66,5.1,0.88,3.33,1195
3,12.87,1.67,2.25,18.5,94,2.0,0.58,0.6,1.14,4.4,1.02,1.75,630
1,14.06,4.04,2.44,17.4,121,2.6,2.33,0.2,1.66,5.05,1.03,3.59,1280
1,13.58,1.81,2.31,16.2,89,2.65,2.88,0.28,1.62,4.7,1.16,2.74,1045
3,13.36,4.36,2.26,21.0,88,0.98,0.34,0.27,0.8,5.7,0.67,1.33,600
1,13.73,1.9,2.59,15.0,128,2.6,2.76,0.5,2.29,5.64,1.13,2.93,1320
2,12.33,1.1,1.71,15.0,80,2.05,0.57,0.28,0.42,3.4,1.23,1.67,520
1,13.29,2.59,2.56,18.0,113,2.41,2.41,0.29,1.54,4.2,0.86,3.0,1080
3,13.16,2.76,2.38,20.0,112,1.8,0.96,0.5,0.94,7.1,0.56,1.6,660
3,12.81,4.36,2.2,19.5,120,1.39,1.39,0.24,1.26,4.0,0.59,1.3,630
1,13.77,1.67,2.25,16.0,98,2.61,2.51,0.26,1.92,4.7,1.04,3.59,770
3,13.84,5.04,2.45,20.0,120,1.65,1.28,0.34,1.56,9.01,0.48,1.29,835
1,14.19,1.76,2.48,18.0,91,2.6,2.33,0.34,1.25,5.0,1.12,3.1,1095
1,13.82,1.75,2.6,20.0,101,3.25,3.4,0.17,2.04,6.8,1.24,2.71,1515
2,13.49,1.66,2.39,23.0,87,1.92,1.75,0.43,1.56,4.6,1.36,2.77,488
3,12.51,3.12,2.64,21.0,97,1.38,0.6,0.5,1.14,5.0,0.75,1.8,510
1,14.21,1.76,2.45,18.8,112,3.27,2.65,0.32,1.97,7.8,1.23,2.96,1515
2,11.45,0.74,2.29,21.0,101,2.42,2.01,0.42,1.56,2.7,1.1,2.31,345
1,13.24,1.97,2.68,16.8,102,2.35,2.41,0.28,1.44,3.52,1.0,3.37,845
3,14.34,3.7,2.74,24.5,98,2.05,0.76,0.53,1.35,9.2,0.6,1.6,660
3,12.51,2.96,2.32,19.0,86,2.3,0.92,0.45,0.94,7.1,0.54,1.68,695
2,12.37,1.63,1.7,17.5,86,2.5,1.64,0.14,1.87,3.3,1.0,2.65,562
2,12.7,1.75,2.58,21.0,94,2.2,2.53,0.34,1.98,3.05,0.79,2.87,600
1,14.37,1.95,2.72,20.0,103,2.8,3.14,0.33,2.38,5.7,1.07,2.57,1280
1,14.06,1.73,2.27,18.8,118,2.6,2.33,0.32,1.36,5.05,0.88,3.28,1060
2,13.34,1.51,2.26,20.7,80,2.42,2.86,0.26,1.97,2.6,1.16,3.14,502
1,13.73,1.5,2.5,16.7,93,2.2,2.53,0.29,1.98,3.8,1.1,2.82,990
2,13.86,0.94,2.4,18.0,162,2.53,1.3,0.32,2.76,2.57,1.12,2.77,985
2,12.64,1.36,2.28,22.5,90,2.74,2.99,0.3,2.49,2.8,0.95,3.26,495
3,13.27,3.7,2.48,23.0,104,1.8,0.75,0.43,1.41,7.6,0.6,1.62,750
3,13.08,1.9,2.7,27.0,96,2.8,1.31,0.56,2.29,10.52,0.57,1.96,650
3,12.53,3.59,2.35,21.0,88,2.3,0.8,0.45,0.94,7.1,0.54,1.86,855
3,13.84,5.04,2.23,22.5,88,0.98,0.47,0.4,0.68,5.7,0.58,1.33,780
3,13.11,3.3,2.38,21.5,92,1.74,0.76,0.58,0.86,5.7,0.89,2.05,550
2,11.56,2.06,2.92,28.5,102,2.13,2.03,0.47,1.4,2.08,1.0,2.87,607
3,14.13,3.03,2.74,23.5,96,1.98,0.5,0.53,0.73,4.92,0.82,2.06,580
1,13.48,1.8,2.31,17.5,89,2.48,2.61,0.27,2.08,3.84,1.02,2.82,1020
1,13.07,2.05,2.68,18.6,107,2.35,2.64,0.29,3.28,6.2,0.88,2.51,1120
2,11.66,1.67,2.02,19.0,88,1.61,0.99,0.32,1.42,3.8,0.94,2.65,625
2,13.05,1.01,2.1,24.0,101,3.52,2.58,0.21,2.28,3.38,0.89,2.87,380
2,11.46,0.74,1.95,16.0,97,2.48,2.5,0.32,1.35,2.85,1.1,3.63,625
1,13.28,3.98,2.12,17.0,101,2.41,2.41,0.32,1.37,4.28,0.92,3.3,1035
1,14.06,1.68,2.12,15.2,90,2.65,2.51,0.26,1.92,5.05,0.88,3.2,1195
3,13.84,3.83,2.48,20.0,107,1.8,1.2,0.5,1.02,7.7,0.56,1.29,675
2,11.76,4.3,2.51,21.0,104,2.83,2.55,0.32,2.91,3.25,0.75,3.64,678
3,12.25,3.88,2.38,18.5,88,2.3,0.8,0.61,1.04,7.65,0.64,1.74,855
2,11.61,1.67,2.2,19.0,96,1.61,1.5,0.58,1.05,2.6,1.45,2.14,680
1,14.39,1.87,2.38,12.0,102,3.3,3.69,0.29,2.96,6.75,1.2,2.73,1547
2,12.22,1.29,2.02,14.8,151,2.1,1.85,0.32,1.56,2.85,1.23,2.26,937
3,12.81,4.28,2.2,19.5,120,1.39,1.39,0.24,1.26,4.0,0.59,1.3,985
2,12.08,1.13,2.17,22.5,86,2.56,2.29,0.42,1.04,1.9,1.23,2.96,312
3,12.87,3.7,2.38,20.0,104,1.39,1.22,0.17,1.04,5.0,0.74,1.33,714
2,12.04,1.83,2.42,18.5,88,2.2,2.21,0.22,2.29,2.4,0.79,3.48,380
2,11.96,3.43,1.9,19.6,87,2.0,2.24,0.24,2.35,2.15,1.42,3.3,710
1,13.29,1.72,2.14,18.8,96,2.45,2.43,0.27,1.37,3.95,1.04,3.14,1095
1,14.12,2.16,2.61,18.6,120,2.6,2.51,0.31,1.36,5.25,0.88,3.38,1080
3,12.88,2.46,2.4,20.0,98,1.48,1.09,0.52,0.84,4.9,0.76,1.58,675
1,14.06,2.02,2.68,16.8,115,2.95,2.92,0.39,1.68,7.3,1.28,2.88,1130
2,12.99,0.9,2.36,21.0,80,2.53,2.01,0.26,1.38,2.6,1.25,2.96,502
1,13.77,1.73,2.36,16.4,111,2.88,2.94,0.32,1.69,4.8,1.11,2.85,1065
1,13.28,2.36,2.67,17.6,115,2.8,3.24,0.3,1.66,5.65,1.03,3.17,1270
3,12.2,3.03,2.32,18.5,112,1.25,0.78,0.53,0.83,4.9,0.75,1.58,515
2,12.08,2.08,2.74,28.5,119,2.2,2.53,0.4,1.61,3.0,1.27,2.87,678
3,13.36,2.56,2.37,20.0,102,1.65,0.75,0.53,1.25,9.7,0.6,1.55,660
2,13.03,3.86,2.02,20.5,80,2.62,2.65,0.26,2.01,2.57,0.79,3.2,372
1,13.3,1.72,2.14,15.5,96,2.4,2.64,0.34,1.35,4.6,1.05,2.48,1290
1,13.5,1.81,2.62,20.0,96,2.53,2.68,0.28,1.77,3.52,1.12,4.0,1015
1,12.85,2.05,2.68,17.6,115,3.0,2.92,0.31,1.45,4.8,1.13,3.58,1065
1,13.2,1.64,2.55,18.0,98,2.4,2.19,0.22,2.35,5.6,1.19,3.08,1375
1,13.16,2.59,2.67,17.6,102,2.41,2.41,0.31,1.57,3.52,1.23,3.52,845
2,12.08,1.13,2.5,24.0,86,2.56,2.29,0.42,1.66,3.0,1.31,3.13,678
1,13.87,1.89,2.8,19.4,101,3.0,2.79,0.37,1.86,6.3,1.07,2.57,1270
2,11.45,1.51,1.88,16.8,97,2.02,1.09,0.29,1.15,2.06,1.71,2.52,625
3,13.08,4.61,2.35,18.5,120,1.8,0.69,0.27,1.46,10.68,0.57,1.86,835
3,12.7,3.12,2.61,24.0,101,1.79,0.6,0.6,0.81,3.85,0.89,2.15,580
1,14.23,1.71,2.3,16.5,118,3.25,3.0,0.27,2.03,4.9,1.05,3.44,1045
2,11.62,1.99,2.22,20.4,96,1.61,1.57,0.66,1.62,3.05,1.13,3.3,466
3,12.6,3.12,2.32,21.0,102,1.38,1.22,0.24,0.83,5.4,0.72,1.42,720
3,13.36,4.36,2.38,21.5,93,1.8,0.83,0.5,1.56,7.1,0.55,1.55,560
3,12.77,5.51,2.48,22.0,89,1.48,0.65,0.61,0.97,7.7,0.56,1.64,620
1,13.76,1.73,2.36,16.4,111,2.88,2.98,0.34,1.62,5.1,0.88,3.69,1060
2,12.07,2.13,1.88,16.8,97,2.23,1.09,0.29,1.03,3.8,1.27,2.52,625
1,13.28,1.78,2.14,17.0,94,2.48,2.37,0.27,1.35,3.95,1.02,2.82,1290
2,12.08,3.43,2.46,21.0,98,1.63,1.59,0.66,1.42,3.8,0.86,2.31,607
2,11.41,1.51,2.78,21.5,134,1.89,1.69,0.14,1.56,2.65,1.1,2.57,750
1,13.77,1.67,2.36,16.0,106,2.88,2.94,0.29,1.81,7.3,1.01,2.85,1515
3,12.6,3.57,2.35,21.0,88,1.62,0.49,0.58,0.88,7.65,0.54,1.58,640
2,12.08,1.33,2.51,22.5,78,2.2,1.58,0.34,1.38,2.8,0.96,2.57,434
2,13.11,5.8,2.4,24.5,101,2.83,1.3,0.21,1.34,2.0,1.19,3.21,472
1,13.63,1.66,2.36,19.1,106,2.85,3.19,0.26,1.95,8.9,1.12,2.88,1450
3,13.88,2.31,2.69,24.5,98,1.55,0.84,0.56,1.54,8.66,0.61,1.62,660
2,12.04,4.31,1.95,20.8,87,2.86,3.15,0.39,2.81,5.3,0.75,3.39,625
3,12.6,4.36,2.38,21.0,93,2.3,0.8,0.5,1.14,7.7,0.67,1.73,880
2,11.45,0.74,1.9,19.0,86,2.2,2.13,0.26,2.01,2.5,1.1,3.14,710
2,12.42,1.61,1.36,15.0,85,2.2,0.57,0.28,0.42,3.8,1.04,1.67,625
3,13.17,2.81,2.28,20.0,103,1.65,0.75,0.53,0.97,4.4,0.96,1.58,750
2,11.84,0.89,2.32,18.0,162,2.2,2.21,0.14,2.35,3.05,1.23,3.48,750
1,13.05,1.65,2.1,11.2,100,2.7,3.27,0.26,1.28,6.1,1.25,2.9,1510
2,11.96,2.16,2.5,21.0,94,2.23,2.45,0.26,1.71,3.25,0.97,3.14,520
3,13.58,4.61,2.86,25.0,112,1.98,0.92,0.27,1.25,8.42,0.74,1.69,600
2,12.37,1.63,2.5,30.0,119,3.3,2.58,0.4,1.35,2.08,1.31,2.96,678
2,12.42,2.55,2.24,18.0,81,2.85,2.99,0.45,2.81,2.8,0.96,3.39,406
3,12.88,2.51,2.4,20.0,112,1.48,0.78,0.43,0.94,5.28,0.77,2.05,680
2,12.6,1.34,2.23,21.5,80,2.74,2.99,0.3,1.77,6.0,0.98,2.84,580
3,13.48,4.28,2.26,22.5,88,1.28,0.34,0.61,0.8,4.9,0.75,1.27,470
1,14.37,1.87,2.45,12.0,102,3.1,3.64,0.29,2.81,5.68,1.25,2.73,1547
3,12.86,2.96,2.4,20.0,104,1.48,0.75,0.6,0.86,5.5,0.77,1.58,680
2,12.29,1.41,2.32,22.5,85,1.45,1.25,0.5,1.63,2.45,1.08,2.26,406
2,12.52,2.43,2.62,21.0,104,2.56,2.11,0.26,1.31,2.0,0.8,3.2,678
3,12.7,3.12,2.61,22.0,101,1.79,0.56,0.6,0.55,4.6,0.87,1.82,580
3,13.73,2.46,2.72,24.5,105,1.55,0.5,0.53,0.64,4.6,0.76,2.06,725
1,13.24,1.97,2.68,20.0,107,2.8,2.92,0.31,2.38,6.25,1.03,2.57,1185
3,12.84,4.28,2.38,20.0,120,1.39,1.39,0.26,1.56,7.1,0.48,1.3,630
2,12.51,2.43,1.82,19.5,86,2.85,3.15,0.39,2.91,5.3,0.98,3.64,710
2,12.37,1.21,2.3,23.0,88,2.42,2.01,0.42,1.46,2.12,1.07,2.87,342
3,13.4,4.61,2.35,22.0,93,2.0,0.92,0.61,1.56,7.1,0.74,1.51,560
1,14.1,1.63,2.27,16.0,118,3.0,3.17,0.24,1.85,6.2,0.94,3.36,1195
3,13.32,2.96,2.38,20.0,104,1.65,0.75,0.53,1.03,7.7,0.54,1.55,675
2,11.45,1.51,2.0,20.8,86,2.11,1.79,0.3,1.48,1.95,1.1,3.33,378
1,14.22,1.7,2.43,14.0,117,2.8,3.06,0.32,2.08,5.1,0.88,3.38,885
2,12.0,1.72,1.92,18.0,86,2.5,2.17,0.27,1.43,3.3,1.0,2.77,428
1,13.77,1.9,2.59,15.0,128,2.6,2.51,0.5,1.25,5.6,1.07,2.84,1185
1,14.23,1.71,2.3,17.4,118,3.25,2.65,0.28,2.03,6.13,0.94,3.31,985
2,13.05,5.8,2.42,22.5,90,2.1,1.64,0.43,1.44,4.6,0.73,2.77,830
1,14.75,1.64,2.39,11.4,106,3.1,3.93,0.43,2.81,8.9,1.12,3.26,1150
1,13.82,1.89,2.8,17.1,101,3.0,2.97,0.37,1.66,4.5,1.25,3.4,915
2,12.21,1.29,2.73,21.5,94,2.74,2.79,0.45,1.87,3.6,1.25,3.5,495
